Player,Opponent,DVP_Rating,Avg_Points,Games_Played,Consistency,Position
Hugh Greenwood,CAR,2.5,59.0,2,0.63,Unknown
Hugh Greenwood,ESS,2.5,59.0,2,0.66,Unknown
Hugh Greenwood,FRE,2.3,49.5,2,0.9,Unknown
Hugh Greenwood,GCS,5.9,77.8,4,0.35,Unknown
Hugh Greenwood,GEE,5.9,72.0,4,0.55,Unknown
Hugh Greenwood,GWS,1.0,36.0,1,0.0,Unknown
Hugh Greenwood,RIC,3.4,77.0,2,0.74,Unknown
Hugh Greenwood,STK,1.0,34.0,1,0.0,Unknown
Hugh Greenwood,SYD,3.9,65.7,3,0.49,Unknown
Hugh Greenwood,ADE,2.4,49.7,3,0.0,Unknown
Hugh Greenwood,COL,4.3,99.0,2,0.7,Unknown
Hugh Greenwood,HAW,3.5,65.7,3,0.2,Unknown
Hugh Greenwood,NTH,4.4,91.7,3,0.0,Unknown
Hugh Greenwood,PTA,1.2,75.0,1,0.0,Unknown
Hugh Greenwood,WBD,2.3,59.5,2,0.41,Unknown
Hugh Greenwood,WCE,3.9,97.0,2,0.53,Unknown
Hugh Greenwood,BRL,3.1,60.7,3,0.12,Unknown
Rory Atkins,MEL,3.0,72.0,2,0.61,Defender
Rory Atkins,CAR,3.6,60.7,3,0.49,Defender
Rory Atkins,ESS,1.0,15.0,1,0.0,Defender
Rory Atkins,FRE,1.4,89.0,1,0.0,Defender
Rory Atkins,GCS,1.0,7.0,1,0.0,Defender
Rory Atkins,GEE,1.0,35.0,1,0.0,Defender
Rory Atkins,GWS,3.1,58.3,3,0.22,Defender
Rory Atkins,RIC,2.1,64.5,2,0.0,Defender
Rory Atkins,STK,2.0,64.0,2,0.0,Defender
Rory Atkins,SYD,1.0,33.0,1,0.0,Defender
Rory Atkins,ADE,3.3,71.5,2,0.85,Defender
Rory Atkins,BRL,7.6,68.6,5,0.77,Defender
Rory Atkins,COL,1.0,56.0,1,0.0,Defender
Rory Atkins,HAW,1.3,40.5,2,0.0,Defender
Rory Atkins,NTH,1.0,40.0,1,0.0,Defender
Rory Atkins,PTA,1.6,103.0,1,0.0,Defender
Rory Atkins,WBD,2.6,38.0,3,0.89,Defender
Rory Atkins,WCE,2.9,52.3,3,0.33,Defender
Bryce Gibbs,MEL,4.4,91.7,3,0.0,Unknown
Bryce Gibbs,CAR,4.8,100.3,3,0.0,Unknown
Bryce Gibbs,ESS,1.6,125.0,1,0.0,Unknown
Bryce Gibbs,FRE,2.6,82.5,2,0.0,Unknown
Bryce Gibbs,GCS,1.5,96.0,1,0.0,Unknown
Bryce Gibbs,GEE,1.6,97.0,1,0.0,Unknown
Bryce Gibbs,GWS,3.2,119.0,2,0.0,Unknown
Bryce Gibbs,RIC,3.2,102.5,2,0.0,Unknown
Bryce Gibbs,STK,3.2,120.0,2,0.0,Unknown
Bryce Gibbs,SYD,2.5,52.7,3,0.0,Unknown
Bryce Gibbs,HAW,1.6,105.0,1,0.0,Unknown
Tom Lynch,MEL,1.3,83.0,1,0.0,Forward
Tom Lynch,CAR,3.9,57.3,3,0.83,Forward
Tom Lynch,COL,1.0,43.0,1,0.0,Forward
Tom Lynch,ESS,4.0,84.0,3,0.0,Forward
Tom Lynch,FRE,1.0,29.0,1,0.0,Forward
Tom Lynch,GCS,1.0,65.0,1,0.0,Forward
Tom Lynch,GEE,1.0,49.0,1,0.0,Forward
Tom Lynch,GWS,1.0,65.0,1,0.0,Forward
Tom Lynch,HAW,1.0,25.0,2,0.28,Forward
Tom Lynch,RIC,4.0,83.7,3,0.0,Forward
Tom Lynch,STK,2.1,51.5,2,0.59,Forward
Tom Lynch,SYD,2.1,54.5,2,0.39,Forward
Tom Lynch,WCE,1.2,78.0,1,0.0,Forward
Tom Lynch,ADE,1.1,34.0,2,0.0,Forward
Tom Lynch,BRL,1.0,36.0,1,0.0,Forward
Tom Lynch,NTH,3.4,78.5,2,0.73,Forward
Tom Lynch,PTA,1.0,18.0,1,0.0,Forward
Tom Lynch,WBD,1.8,42.5,2,0.69,Forward
Sam Gibson,MEL,1.4,85.0,1,0.0,Unknown
Sam Gibson,FRE,2.6,81.0,2,0.0,Unknown
Sam Gibson,GWS,2.9,91.0,2,0.0,Unknown
Sam Gibson,COL,3.2,106.5,2,0.0,Unknown
Sam Gibson,PTA,1.0,60.0,1,0.0,Unknown
Sam Gibson,RIC,1.5,93.0,1,0.0,Unknown
Wayne Milera,MEL,9.2,80.2,5,0.88,Defender
Wayne Milera,CAR,10.0,77.7,6,0.78,Defender
Wayne Milera,COL,6.8,61.2,6,0.33,Defender
Wayne Milera,ESS,4.6,69.7,3,0.74,Defender
Wayne Milera,FRE,8.1,62.8,6,0.7,Defender
Wayne Milera,GCS,8.9,71.0,8,0.6,Defender
Wayne Milera,GEE,8.3,71.2,6,0.44,Defender
Wayne Milera,GWS,8.7,73.8,6,0.45,Defender
Wayne Milera,HAW,6.2,62.2,5,0.49,Defender
Wayne Milera,RIC,5.2,81.0,4,0.0,Defender
Wayne Milera,STK,6.4,65.4,5,0.44,Defender
Wayne Milera,SYD,8.3,71.3,6,0.43,Defender
Wayne Milera,WCE,7.8,64.0,6,0.55,Defender
Josh Jenkins,MEL,3.8,79.3,3,0.0,Unknown
